stock,ticker,rows_raw,rows_model,rows_train,rows_test,accuracy,macro_f1,macro_recall
costco,COST,121,106,74,32,0.625,0.2784,0.2964
microsoft,MSFT,121,106,74,32,0.5938,0.233,0.2778
toyota,TM,121,106,74,32,0.5938,0.2743,0.2938
verizon,VZ,121,106,74,32,0.5625,0.3378,0.3492
adobe,ADBE,121,106,74,32,0.5312,0.1735,0.25
sony,SONY,121,106,74,32,0.5312,0.2738,0.2938
amazon,AMZN,121,106,74,32,0.4688,0.2699,0.3125
walmart,WMT,121,106,74,32,0.4375,0.2222,0.2302
hp,HPQ,121,106,74,32,0.4375,0.2262,0.2857
google,GOOGL,121,106,74,32,0.4375,0.1842,0.1964
ebay,EBAY,121,106,74,32,0.4062,0.1444,0.25
bp,BP,121,106,74,32,0.4062,0.2125,0.275
honda,HMC,121,106,74,32,0.4062,0.2723,0.2768
adidas,ADS.DE,121,106,74,32,0.4062,0.1477,0.1806
intel,INTC,121,106,74,32,0.4062,0.1444,0.25
ford,F,121,106,74,32,0.4062,0.2229,0.2292
netflix,NFLX,121,106,74,32,0.375,0.183,0.2428
facebook,META,121,106,74,32,0.375,0.1395,0.1875
mcdonald's,MCD,121,106,74,32,0.3438,0.1818,0.174
apple,AAPL,121,105,73,32,0.3125,0.2201,0.3048
