DATE,LAST_PRICE,NEXT_PRICE,NEXT_RETURN,TARGET_LABEL,STOCK,TICKER,PREDICTED_LABEL,CORRECT
2018-09-13,25.01,25.04,0.001199520191923134,maybe buy,hp,HPQ,don't buy,False
2018-09-14,25.04,25.04,0.0,maybe buy,hp,HPQ,maybe buy,True
2018-09-15,25.04,25.04,0.0,maybe buy,hp,HPQ,don't buy,False
2018-09-16,25.04,25.01,-0.0011980830670925552,don't buy,hp,HPQ,don't buy,True
2018-09-17,25.01,25.16,0.005997600959616096,maybe buy,hp,HPQ,maybe buy,True
2018-09-18,25.16,25.26,0.003974562798092266,maybe buy,hp,HPQ,don't buy,False
2018-09-19,25.26,25.69,0.017022961203483757,maybe buy,hp,HPQ,don't buy,False
2018-09-20,25.69,25.83,0.0054495912806538345,maybe buy,hp,HPQ,don't buy,False
2018-09-21,25.83,25.83,0.0,maybe buy,hp,HPQ,don't buy,False
2018-09-22,25.83,25.83,0.0,maybe buy,hp,HPQ,don't buy,False
2018-09-23,25.83,25.87,0.0015485869144406777,maybe buy,hp,HPQ,don't buy,False
2018-09-24,25.87,25.56,-0.011982991882489457,don't buy,hp,HPQ,don't buy,True
2018-09-25,25.56,25.97,0.01604068857589985,maybe buy,hp,HPQ,maybe buy,True
2018-09-26,25.97,25.63,-0.013092029264535999,don't buy,hp,HPQ,don't buy,True
2018-09-27,25.63,25.77,0.005462348809988317,maybe buy,hp,HPQ,maybe buy,True
2018-09-28,25.77,25.77,0.0,maybe buy,hp,HPQ,maybe buy,True
2018-09-29,25.77,25.77,0.0,maybe buy,hp,HPQ,maybe buy,True
2018-09-30,25.77,25.6,-0.006596818005432602,don't buy,hp,HPQ,maybe buy,False
2018-10-01,25.6,26.08,0.018749999999999878,maybe buy,hp,HPQ,maybe buy,True
2018-10-02,26.08,23.77,-0.0885736196319018,definitely don't buy,hp,HPQ,don't buy,False
2018-10-18,23.77,23.84,0.0029448885149348037,maybe buy,hp,HPQ,maybe buy,True
2018-10-19,23.84,23.84,0.0,maybe buy,hp,HPQ,maybe buy,True
2018-10-20,23.84,23.84,0.0,maybe buy,hp,HPQ,don't buy,False
2018-10-21,23.84,24.11,0.01132550335570468,maybe buy,hp,HPQ,don't buy,False
2018-10-22,24.11,23.94,-0.0070510161758605625,don't buy,hp,HPQ,don't buy,True
2018-10-23,23.94,23.06,-0.03675856307435265,definitely don't buy,hp,HPQ,maybe buy,False
2018-10-24,23.06,23.79,0.03165654813529924,must buy,hp,HPQ,don't buy,False
2018-10-25,23.79,23.13,-0.027742749054224473,definitely don't buy,hp,HPQ,don't buy,False
2018-10-27,23.13,23.13,0.0,maybe buy,hp,HPQ,don't buy,False
2018-10-28,23.13,23.02,-0.004755728491137027,don't buy,hp,HPQ,maybe buy,False
2018-10-29,23.02,23.67,0.028236316246742058,must buy,hp,HPQ,maybe buy,False
2018-10-30,23.67,24.14,0.019856358259400034,maybe buy,hp,HPQ,maybe buy,True
2018-09-13,112.91,113.37,0.0040740412718094764,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-14,113.37,113.37,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-15,113.37,113.37,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-16,113.37,112.14,-0.010849431066419722,don't buy,microsoft,MSFT,maybe buy,False
2018-09-17,112.14,113.21,0.009541644373104986,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-18,113.21,111.7,-0.013338044342372502,don't buy,microsoft,MSFT,don't buy,True
2018-09-19,111.7,113.57,0.016741271262309673,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-20,113.57,114.26,0.006075548120102245,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-21,114.26,114.26,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-22,114.26,114.26,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-23,114.26,114.67,0.0035883073691580307,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-24,114.67,114.45,-0.001918548879393031,don't buy,microsoft,MSFT,maybe buy,False
2018-09-25,114.45,113.98,-0.004106596767147216,don't buy,microsoft,MSFT,maybe buy,False
2018-09-26,113.98,114.41,0.003772591682751295,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-27,114.41,114.37,-0.0003496197884799584,don't buy,microsoft,MSFT,maybe buy,False
2018-09-28,114.37,114.37,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-29,114.37,114.37,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-09-30,114.37,115.61,0.010842004022033705,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-01,115.61,115.15,-0.003978894559294124,don't buy,microsoft,MSFT,maybe buy,False
2018-10-02,115.15,108.5,-0.0577507598784195,definitely don't buy,microsoft,MSFT,don't buy,False
2018-10-18,108.5,108.66,0.0014746543778801529,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-19,108.66,108.66,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-20,108.66,108.66,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-21,108.66,109.63,0.008926928032394615,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-22,109.63,108.1,-0.013956033932317808,don't buy,microsoft,MSFT,maybe buy,False
2018-10-23,108.1,102.32,-0.05346901017576319,definitely don't buy,microsoft,MSFT,maybe buy,False
2018-10-24,102.32,108.3,0.05844409695074281,must buy,microsoft,MSFT,maybe buy,False
2018-10-25,108.3,106.96,-0.012373037857802433,don't buy,microsoft,MSFT,maybe buy,False
2018-10-27,106.96,106.96,0.0,maybe buy,microsoft,MSFT,maybe buy,True
2018-10-28,106.96,103.85,-0.02907629020194465,definitely don't buy,microsoft,MSFT,maybe buy,False
2018-10-29,103.85,103.73,-0.0011555127587866186,don't buy,microsoft,MSFT,maybe buy,False
2018-10-30,103.73,106.81,0.02969247083775184,must buy,microsoft,MSFT,maybe buy,False
2018-09-13,9.37,9.45,0.00853788687299894,maybe buy,ford,F,maybe buy,True
2018-09-14,9.45,9.45,0.0,maybe buy,ford,F,maybe buy,True
2018-09-15,9.45,9.45,0.0,maybe buy,ford,F,maybe buy,True
2018-09-16,9.45,9.55,0.010582010582010732,maybe buy,ford,F,maybe buy,True
2018-09-17,9.55,9.58,0.0031413612565444355,maybe buy,ford,F,maybe buy,True
2018-09-18,9.58,9.78,0.02087682672233813,must buy,ford,F,maybe buy,False
2018-09-19,9.78,9.81,0.0030674846625768034,maybe buy,ford,F,don't buy,False
2018-09-20,9.81,9.85,0.004077471967380137,maybe buy,ford,F,don't buy,False
2018-09-21,9.85,9.85,0.0,maybe buy,ford,F,definitely don't buy,False
2018-09-22,9.85,9.85,0.0,maybe buy,ford,F,maybe buy,True
2018-09-23,9.85,9.59,-0.026395939086294395,definitely don't buy,ford,F,definitely don't buy,True
2018-09-24,9.59,9.39,-0.020855057351407642,definitely don't buy,ford,F,maybe buy,False
2018-09-25,9.39,9.27,-0.012779552715655057,don't buy,ford,F,maybe buy,False
2018-09-26,9.27,9.23,-0.004314994606256651,don't buy,ford,F,maybe buy,False
2018-09-27,9.23,9.25,0.0021668472372697264,maybe buy,ford,F,maybe buy,True
2018-09-28,9.25,9.25,0.0,maybe buy,ford,F,don't buy,False
2018-09-29,9.25,9.25,0.0,maybe buy,ford,F,don't buy,False
2018-09-30,9.25,9.32,0.007567567567567599,maybe buy,ford,F,don't buy,False
2018-10-01,9.32,9.2,-0.012875536480686801,don't buy,ford,F,maybe buy,False
2018-10-02,9.2,8.51,-0.07499999999999996,definitely don't buy,ford,F,maybe buy,False
2018-10-18,8.51,8.5,-0.0011750881316098458,don't buy,ford,F,maybe buy,False
2018-10-19,8.5,8.5,0.0,maybe buy,ford,F,maybe buy,True
2018-10-20,8.5,8.5,0.0,maybe buy,ford,F,maybe buy,True
2018-10-21,8.5,8.41,-0.010588235294117631,don't buy,ford,F,maybe buy,False
2018-10-22,8.41,8.59,0.021403091557669406,must buy,ford,F,maybe buy,False
2018-10-23,8.59,8.18,-0.04772991850989525,definitely don't buy,ford,F,maybe buy,False
2018-10-24,8.18,8.99,0.09902200488997562,must buy,ford,F,maybe buy,False
2018-10-25,8.99,8.98,-0.0011123470522802878,don't buy,ford,F,maybe buy,False
2018-10-27,8.98,8.98,0.0,maybe buy,ford,F,maybe buy,True
2018-10-28,8.98,9.28,0.033407572383073375,must buy,ford,F,maybe buy,False
2018-10-29,9.28,9.46,0.019396551724138095,maybe buy,ford,F,maybe buy,True
2018-10-30,9.46,9.55,0.009513742071881591,maybe buy,ford,F,maybe buy,True
2018-09-13,161.36,162.32,0.005949429846306268,maybe buy,facebook,META,maybe buy,True
2018-09-14,162.32,162.32,0.0,maybe buy,facebook,META,maybe buy,True
2018-09-15,162.32,162.32,0.0,maybe buy,facebook,META,maybe buy,True
2018-09-16,162.32,160.58,-0.010719566288812104,don't buy,facebook,META,maybe buy,False
2018-09-17,160.58,160.3,-0.0017436791630340088,don't buy,facebook,META,maybe buy,False
2018-09-18,160.3,163.06,0.0172177167810355,maybe buy,facebook,META,maybe buy,True
2018-09-19,163.06,166.02,0.018152827180179125,maybe buy,facebook,META,maybe buy,True
