stock,raw_rows,unique_dates,valid_feature_rows,valid_feature_ratio,date_start,date_end,span_days,score
adidas,7343,121,121,1.0,2017-01-31,2018-10-31,638,1.0
adobe,1936,121,121,1.0,2017-01-31,2018-10-31,638,1.0
amazon,51902,121,121,1.0,2017-01-31,2018-10-31,638,1.0
apple,63543,121,121,1.0,2017-01-31,2018-10-31,638,1.0
audi,2505,121,121,1.0,2017-01-31,2018-10-31,638,1.0
bmw,6436,121,121,1.0,2017-01-31,2018-10-31,638,1.0
bp,3444,121,121,1.0,2017-01-31,2018-10-31,638,1.0
cbs,10241,121,121,1.0,2017-01-31,2018-10-31,638,1.0
costco,2511,121,121,1.0,2017-01-31,2018-10-31,638,1.0
disney,37763,121,121,1.0,2017-01-31,2018-10-31,638,1.0
ebay,26144,121,121,1.0,2017-01-31,2018-10-31,638,1.0
facebook,121285,121,121,1.0,2017-01-31,2018-10-31,638,1.0
ford,93958,121,121,1.0,2017-01-31,2018-10-31,638,1.0
google,63675,121,121,1.0,2017-01-31,2018-10-31,638,1.0
honda,3745,121,121,1.0,2017-01-31,2018-10-31,638,1.0
hp,3944,121,121,1.0,2017-01-31,2018-10-31,638,1.0
intel,10931,121,121,1.0,2017-01-31,2018-10-31,638,1.0
mcdonald's,8192,121,121,1.0,2017-01-31,2018-10-31,638,1.0
microsoft,11356,121,121,1.0,2017-01-31,2018-10-31,638,1.0
netflix,51040,121,121,1.0,2017-01-31,2018-10-31,638,1.0
next,66868,121,121,1.0,2017-01-31,2018-10-31,638,1.0
nike,70224,121,121,1.0,2017-01-31,2018-10-31,638,1.0
oracle,2615,121,121,1.0,2017-01-31,2018-10-31,638,1.0
paypal,6991,121,121,1.0,2017-01-31,2018-10-31,638,1.0
pepsi,2519,121,121,1.0,2017-01-31,2018-10-31,638,1.0
reuters,13464,121,121,1.0,2017-01-31,2018-10-31,638,1.0
samsung,12071,121,121,1.0,2017-01-31,2018-10-31,638,1.0
shell,3032,121,121,1.0,2017-01-31,2018-10-31,638,1.0
sony,7963,121,121,1.0,2017-01-31,2018-10-31,638,1.0
starbucks,15258,121,121,1.0,2017-01-31,2018-10-31,638,1.0
toyota,5615,121,121,1.0,2017-01-31,2018-10-31,638,1.0
verizon,2557,121,121,1.0,2017-01-31,2018-10-31,638,1.0
walmart,14511,121,121,1.0,2017-01-31,2018-10-31,638,1.0
cisco,2146,120,120,1.0,2017-01-31,2018-10-31,638,0.9933884297520661
ibm,3350,120,120,1.0,2017-01-31,2018-10-31,638,0.9933884297520661
kroger,2624,120,120,1.0,2017-01-31,2018-10-31,638,0.9933884297520661
ups,3278,120,120,1.0,2017-01-31,2018-10-31,638,0.9933884297520661
visa,3042,120,120,1.0,2017-01-31,2018-10-31,638,0.9933884297520661
boeing,2504,119,119,1.0,2017-01-31,2018-10-31,638,0.9867768595041322
comcast,1629,119,119,1.0,2017-01-31,2018-10-31,638,0.9867768595041322
fedex,1249,119,119,1.0,2017-01-31,2018-10-31,638,0.9867768595041322
nissan,2865,119,119,1.0,2017-01-31,2018-10-31,638,0.9867768595041322
sap,1836,119,119,1.0,2017-01-31,2018-10-31,638,0.9867768595041322
yahoo,2933,120,116,0.9666666666666667,2017-01-31,2018-10-31,638,0.9751515151515151
hyundai,1073,117,117,1.0,2017-01-31,2018-10-31,638,0.9735537190082644
bayer,783,116,116,1.0,2017-01-31,2018-10-30,637,0.9669421487603305
tesco,2609,116,116,1.0,2017-01-31,2018-10-31,638,0.9669421487603305
vodafone,894,116,116,1.0,2017-01-31,2018-10-31,638,0.9669421487603305
