stock,raw_rows,unique_dates,valid_feature_rows,valid_feature_ratio,date_start,date_end,span_days,score
adidas,7343,121,121,1.0,2017-01-31,2018-10-31,638,1.0
adobe,1936,121,121,1.0,2017-01-31,2018-10-31,638,1.0
amazon,51902,121,121,1.0,2017-01-31,2018-10-31,638,1.0
apple,63543,121,121,1.0,2017-01-31,2018-10-31,638,1.0
audi,2505,121,121,1.0,2017-01-31,2018-10-31,638,1.0
bmw,6436,121,121,1.0,2017-01-31,2018-10-31,638,1.0
bp,3444,121,121,1.0,2017-01-31,2018-10-31,638,1.0
cbs,10241,121,121,1.0,2017-01-31,2018-10-31,638,1.0
costco,2511,121,121,1.0,2017-01-31,2018-10-31,638,1.0
disney,37763,121,121,1.0,2017-01-31,2018-10-31,638,1.0
ebay,26144,121,121,1.0,2017-01-31,2018-10-31,638,1.0
facebook,121285,121,121,1.0,2017-01-31,2018-10-31,638,1.0
ford,93958,121,121,1.0,2017-01-31,2018-10-31,638,1.0
google,63675,121,121,1.0,2017-01-31,2018-10-31,638,1.0
honda,3745,121,121,1.0,2017-01-31,2018-10-31,638,1.0
hp,3944,121,121,1.0,2017-01-31,2018-10-31,638,1.0
intel,10931,121,121,1.0,2017-01-31,2018-10-31,638,1.0
mcdonald's,8192,121,121,1.0,2017-01-31,2018-10-31,638,1.0
microsoft,11356,121,121,1.0,2017-01-31,2018-10-31,638,1.0
netflix,51040,121,121,1.0,2017-01-31,2018-10-31,638,1.0
